web-scraper-order,web-scraper-start-url,link,link-href,Harga,Lokasi,Kecamatan,KamarTidur,KamarMandi,Luas Tanah(m²),Luas Bangunan(m²),Nama Perumahan,Sertifikat_,Daya Listrik (Watt),Jumlah Lantai,Carport,Garasi,Interior,Orientasi Bangunan,AC,Kolam Renang,TV Kabel,Internet,Keamanan 24 jam,Dekat Jalan Raya,Masuk Mobil,Dekat Kawasan Bisnis,Dekat Stasiun,Dekat Rumah Sakit,Bebas Banjir,Taman,Jogging Track,Pusat Kebugaran,Akses Jalan Tol,Pusat Bisnis,Dekat Pusat Perbelanjaan,Dekat Sekolah,Dekat Tempat Ibadah,Kids Playground
1713196085-21,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,NEW MENTENG RUMAH SULTAN DI GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-4-95mily-serpong-995310439,4950000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196091-22,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,NEW MENTENG RUMAH PALING LARIS DI GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-5-02mily-serpong-922482063,5020000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196098-23,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,NEW MENTENG RUMAH MEWAH DI GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-5-01mily-serpong-397664560,5010000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,170,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196105-24,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,NEW MENTENG CLUB HOUSE MEWAH RUMAH 2 LANTAI DI GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-4-92mily-serpong-tk-185237253,4920000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,1.0,1.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196115-25,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,NEW MENTENG RUMAH MEWAH DI GADING SERPONG TANGERANG,https://www.99.co/id/properti/rumah-dijual-5-01mily-serpong-397422712,5010000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196126-26,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,NEW MENTENG RUMAH CANGGIH DI SERPONG,https://www.99.co/id/properti/rumah-dijual-4-95mily-serpong-144880320,4950000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196131-27,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,RUMAH SULTAN DI GADING SERPONG NEW MENTENG,https://www.99.co/id/properti/rumah-dijual-5-04mily-serpong-765535925,5040000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196140-28,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,NEW MENTENG RUMAH BEBAS BANJIR DI GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-4-93mily-serpong-978857652,4930000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,1.0,1.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196148-29,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,NEW MENTENG DP 15% - KPR DIGADING SERPONG,https://www.99.co/id/properti/rumah-dijual-5-03mily-serpong-668811910,5030000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196153-30,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,CLUSTER NEW MENTENG DEKAT MALL SUMMARECON,https://www.99.co/id/properti/rumah-dijual-4-9mily-serpong-masuk-561136888,4900000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196164-31,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,NEW MENTENG DEKAT UNIVERSITAS UMN GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-5-01mily-serpong-284007514,5010000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196174-32,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,NEW MENTENG DESAIN DETACHED GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-4-96mily-serpong-294316544,4960000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196186-33,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,NEW MENTENG RUMAH DP 15% KPR GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-5-02mily-serpong-238931250,5020000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196191-34,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,NEW MENTENG RUMAH MEWAH 2 LANTAI DI GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-4-09mily-serpong-338810532,4090000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196195-35,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,NEW MENTENG RUMAH 2LANTAI BEBAS BANJIR,https://www.99.co/id/properti/rumah-dijual-5-01mily-serpong-366854580,5010000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196206-36,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,NEW MENTENG RUMAH SULTAN DI GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-4-92mily-serpong-527667036,4920000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196217-37,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,NEW MENTENG RUMAH 2 LANTAI BEBAS BANJIR,https://www.99.co/id/properti/rumah-dijual-5-02mily-serpong-454375367,5020000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196225-38,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,NEW MENTENG RUMAH 2 LANTAI PREMIUM BEBAS BANJIR,https://www.99.co/id/properti/rumah-dijual-5-03mily-serpong-tk-878316420,4930000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196235-39,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,NEW MENTENG RUMAH MODERN TROPIS BEBAS BANJIR,https://www.99.co/id/properti/rumah-dijual-5-02mily-serpong-524843816,5020000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196246-40,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,NEW MENTENG RUMAH 2 LANTAI BEBAS BANJIR,https://www.99.co/id/properti/rumah-dijual-4-92mily-serpong-186973214,4920000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196259-61,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=99,NEW MENTENG INFO RUMAH DI GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-5-02mily-serpong-844213951,5020000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,1.0,1.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196264-62,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=99,NEW MENTENG RUMAH MEWAH DI SCBD GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-5-02mily-serpong-952879470,4910000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196337-75,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=99,NEW MENTENG RUMAH MEWAH DI PARAMOUNT LAND,https://www.99.co/id/properti/rumah-dijual-4-91mily-serpong-sd-370152990,4910000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196272-64,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=99,NEW MENTENG RUMAH MEWAH DI GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-5-01mily-serpong-333871010,5010000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196276-65,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=99,NEW MENTENG RUMAH MEWAH DI PARAMOUNT LAND,https://www.99.co/id/properti/rumah-dijual-4-92mily-serpong-kpr-399805619,4920000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,1.0,1.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196287-66,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=99,NEW MENTENG RUMAH MEWAH 2LANTAI DI GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-5-04mily-serpong-468809113,5040000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,1.0,1.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196297-67,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=99,NEW MENTENG LOKASI STATEGIS BEBAS BANJIR,https://www.99.co/id/properti/rumah-dijual-5-01mily-serpong-166010778,5010000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,1.0,1.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
